r,m,P
69570.0,1.3505545030016772e+25,1e+28
79570.0,2.02066385935239e+25,9.99998088481826e+27
89570.0,2.8822620307292168e+25,9.999959206394577e+27
99570.0,3.959413771074871e+25,9.999934964724277e+27
109570.0,5.276183586108807e+25,9.999908159815606e+27
119570.0,6.85663570561604e+25,9.999878791684742e+27
129570.0,8.72483405573647e+25,9.99984686035336e+27
139570.0,1.090484223125475e+26,9.999812365847346e+27
149570.0,1.3420723467890771e+26,9.999775308196083e+27
159570.0,1.6296540614590793e+26,9.999735687432048e+27
169570.0,1.955635610581927e+26,9.999693503590553e+27
179570.0,2.322423193385146e+26,9.999648756709597e+27
189570.0,2.7324229621066798e+26,9.999601446829764e+27
199570.0,3.188041019224317e+26,9.999551573994154e+27
209570.0,3.691683414685206e+26,9.999499138248346e+27
219570.0,4.245756143135466e+26,9.999444139640358e+27
229570.0,4.8526651411499015e+26,9.999386578220633e+27
239570.0,5.514816284461819e+26,9.999326454042021e+27
249570.0,6.234615385192953e+26,9.999263767159766e+27
259570.0,7.014468189083517e+26,9.9991985176315e+27
269570.0,7.856780372722363e+26,9.999130705517243e+27
279570.0,8.763957540777278e+26,9.99906033087938e+27
289570.0,9.738405223225405e+26,9.998987393782676e+27
299570.0,1.0782528872583799e+27,9.998911894294268e+27
309570.0,1.1898733861140128e+27,9.998833832483656e+27
319570.0,1.3089425478183524e+27,9.998753208422712e+27
329570.0,1.4357008927235572e+27,9.99867002218567e+27
339570.0,1.570388932328147e+27,9.998584273849127e+27
349570.0,1.7132471690001338e+27,9.998495963492045e+27
359570.0,1.8645160957001704e+27,9.998405091195748e+27
369570.0,2.024436195704715e+27,9.998311657043922e+27
379570.0,2.1932479423292154e+27,9.998215661122614e+27
389570.0,2.3711917986513075e+27,9.998117103520227e+27
399570.0,2.558508217234038e+27,9.998015984327532e+27
409570.0,2.7554376398491006e+27,9.997912303637652e+27
419570.0,2.962220497200096e+27,9.997806061546075e+27
429570.0,3.17909720864581e+27,9.997697258150646e+27
439570.0,3.4063081819235126e+27,9.997585893551566e+27
449570.0,3.6440938128722786e+27,9.997471967851399e+27
459570.0,3.89269448515633e+27,9.997355481155064e+27
469570.0,4.1523505699884e+27,9.997236433569837e+27
479570.0,4.4233024258531196e+27,9.997114825205355e+27
489570.0,4.705790398230428e+27,9.996990656173608e+27
499570.0,5.000054819319007e+27,9.996863926588948e+27
509570.0,5.306336007759739e+27,9.99673463656808e+27
519570.0,5.624874268359186e+27,9.996602786230064e+27
529570.0,5.955909891813105e+27,9.996468375696323e+27
539570.0,6.299683154429973e+27,9.996331405090629e+27
549570.0,6.656434317854554e+27,9.996191874539112e+27
559570.0,7.026403628791482e+27,9.99604978417026e+27
569570.0,7.409831318728874e+27,9.995905134114914e+27
579570.0,7.806957603661972e+27,9.99575792450627e+27
589570.0,8.218022683816814e+27,9.995608155479877e+27
599570.0,8.643266743373932e+27,9.995455827173643e+27
609570.0,9.082929950192077e+27,9.995300939727825e+27
619570.0,9.537252455531979e+27,9.99514349328504e+27
629570.0,1.0006474393780134e+28,9.994983487990254e+27
639570.0,1.0490835882172623e+28,9.994820923990787e+27
649570.0,1.0990577020518954e+28,9.994655801436315e+27
659570.0,1.1505937890925957e+28,9.994488120478861e+27
669570.0,1.2037158557521683e+28,9.99431788127281e+27
679570.0,1.258447906617936e+28,9.994145083974888e+27
689570.0,1.314813944424137e+28,9.993969728744184e+27
699570.0,1.3728379700243258e+28,9.99379181574213e+27
709570.0,1.4325439823637782e+28,9.993611345132516e+27
719570.0,1.4939559784518998e+28,9.993428317081477e+27
729570.0,1.5570979533346372e+28,9.993242731757504e+27
739570.0,1.6219939000668936e+28,9.993054589331436e+27
749570.0,1.6886678096849479e+28,9.992863889976462e+27
759570.0,1.7571436711788763e+28,9.992670633868125e+27
769570.0,1.8274454714649804e+28,9.992474821184312e+27
779570.0,1.8995971953582156e+28,9.992276452105261e+27
789570.0,1.973622825544626e+28,9.99207552681356e+27
799570.0,2.0495463425537814e+28,9.991872045494147e+27
809570.0,2.12739172473122e+28,9.991666008334304e+27
819570.0,2.2071829482108936e+28,9.991457415523665e+27
829570.0,2.2889439868876172e+28,9.99124626725421e+27
839570.0,2.372698812389523e+28,9.991032563720264e+27
849570.0,2.458471394050518e+28,9.990816305118503e+27
859570.0,2.5462856988827464e+28,9.990597491647949e+27
869570.0,2.6361656915490553e+28,9.990376123509967e+27
879570.0,2.728135334335467e+28,9.99015220090827e+27
889570.0,2.822218587123652e+28,9.98992572404892e+27
899570.0,2.918439407363409e+28,9.989696693140315e+27
909570.0,3.016821750045149e+28,9.989465108393205e+27
919570.0,3.117389567672383e+28,9.989230970020683e+27
929570.0,3.2201668102342144e+28,9.988994278238187e+27
939570.0,3.325177425177837e+28,9.988755033263493e+27
949570.0,3.432445357381037e+28,9.988513235316728e+27
959570.0,3.541994549124699e+28,9.988268884620355e+27
969570.0,3.6538489400653176e+28,9.988021981399183e+27
979570.0,3.7680324672075134e+28,9.987772525880364e+27
989570.0,3.884569064876554e+28,9.987520518293387e+27
999570.0,4.00348266469088e+28,9.987265958870087e+27
1009570.0,4.1247971955346345e+28,9.987008847844637e+27
1019570.0,4.248536583530201e+28,9.986749185453552e+27
1029570.0,4.374724752010741e+28,9.986486971935684e+27
1039570.0,4.503385621492743e+28,9.986222207532227e+27
1049570.0,4.634543109648572e+28,9.985954892486712e+27
1059570.0,4.768221131279025e+28,9.985685027045012e+27
1069570.0,4.904443598285894e+28,9.985412611455334e+27
1079570.0,5.043234419644529e+28,9.985137645968228e+27
1089570.0,5.184617501376415e+28,9.984860130836575e+27
1099570.0,5.328616746521745e+28,9.984580066315597e+27
1109570.0,5.475256055112004e+28,9.98429745266285e+27
1119570.0,5.6245593241425595e+28,9.984012290138228e+27
