,x,f(x),f'(x)
0,92679.8773003779,0.0,0.0
1,93005.6044071605,2.615776168657545e+19,-8.030575638899523e+16
2,93290.5506741388,2.284982511606838e+19,-8.018994373352696e+16
3,93539.64932707122,1.9950068102912016e+19,-8.00890244409482e+16
4,93757.27826610302,1.741055454618039e+19,-8.000110014613608e+16
5,93947.31247182342,1.5188390872097882e+19,-7.992451050862682e+16
6,94113.17404708367,1.3245341214422073e+19,-7.985780427829093e+16
7,94257.87923757649,1.1547432768167543e+19,-7.979971367192014e+16
8,94384.08205636963,1.0064565220343218e+19,-7.974913172771867e+16
9,94494.11434718723,8.77013389870039e+18,-7.970509232820053e+16
10,94590.02227271939,7.64067297632741e+18,-7.966675260602216e+16
11,94673.59932006187,6.655522558956274e+18,-7.96333774712503e+16
12,94746.41598601632,5.796521616476602e+18,-7.960432602204718e+16
13,94809.84634895093,5.047727365295702e+18,-7.957903962332992e+16
14,94865.09175810919,4.3951607543897784e+18,-7.95570314593811e+16
15,94913.20188108117,3.826577061991678e+18,-7.95378773864299e+16
16,94955.09334980756,3.331260195076571e+18,-7.952120792981197e+16
17,94991.56623820397,2.899839042821554e+18,-7.9506701287374e+16
18,95023.3185926953,2.5241241197346816e+18,-7.949407721634662e+16
19,95050.95922242032,2.1969627069414113e+18,-7.94830916949941e+16
20,95075.01893993028,1.9121107357672407e+18,-7.947353226303296e+16
21,95095.96042678751,1.6641197336703795e+18,-7.946521395618565e+16
22,95114.18688222149,1.4482372540703703e+18,-7.94579757603847e+16
23,95130.0495973397,1.2603193261672366e+18,-7.945167752017413e+16
24,95143.85458262419,1.0967535838594335e+18,-7.944619724386557e+16
25,95155.86836269072,9.543918532347822e+17,-7.944142875509442e+16
26,95166.32303964692,8.304910969855017e+17,-7.943727964667269e+16
27,95175.42071487872,7.226617275651195e+17,-7.94336694981533e+16
28,95183.33734866793,6.28822404419027e+17,-7.94305283233616e+16
29,95190.22612769055,5.471605295133491e+17,-7.942779521841179e+16
30,95196.22040206185,4.76097742658732e+17,-7.942541718445856e+16
31,95201.43624613374,4.142597993716777e+17,-7.942334810270866e+16
32,95205.97469062725,3.604502864696443e+17,-7.942154784208002e+16
33,95209.92366781285,3.1362769495497114e+17,-7.941998148240587e+16
34,95213.35970627326,2.7288542811324416e+17,-7.941861863826638e+16
35,95216.34940722385,2.3743437454639104e+17,-7.941743287044995e+16
36,95218.95073033386,2.0658771968629146e+17,-7.941640117371365e+16
37,95221.21411348706,1.7974771279436186e+17,-7.94155035309719e+16
38,95223.18344780388,1.563941383302021e+17,-7.941472252531349e+16
39,95224.89692654902,1.3607427474928435e+17,-7.941404300235848e+16
40,95226.38778417061,1.1839414983799603e+17,-7.941345177643162e+16
41,95227.68493963807,1.0301092590308557e+17,-7.941293737487325e+16
42,95228.8135564362,8.962626998711091e+16,-7.941248981554229e+16
43,95229.79552998098,7.79805817414615e+16,-7.941210041320648e+16
44,95230.64991184212,6.784796868136141e+16,-7.94117616110724e+16
45,95231.3932789519,5.903187258415514e+16,-7.941146683419371e+16
46,95232.0400549164,5.136126217381478e+16,-7.941121036191606e+16
47,95232.60278963989,4.468731993312461e+16,-7.941098721689053e+16
48,95233.09240265844,3.888055809959526e+16,-7.941079306850238e+16
49,95233.51839488855,3.382830887613235e+16,-7.941062414884437e+16
50,95233.8890328903,2.943254057975808e+16,-7.941047717960552e+16
51,95234.21150920235,2.5607956582629376e+16,-7.941034930845746e+16
52,95234.49208186146,2.228034165132493e+16,-7.9410238053706e+16
53,95234.7361958006,1.938512238949171e+16,-7.941014125613253e+16
54,95234.94858848311,1.6866115032317952e+16,-7.941005703709262e+16
55,95235.13338181436,1.4674435433562112e+16,-7.940998376205891e+16
56,95235.29416211732,1.276755099713536e+16,-7.940992000890138e+16
57,95235.43404971743,1.1108455374651392e+16,-7.940986454028718e+16
58,95235.5557594889,9664950591553536.0,-7.940981627966891e+16
59,95235.66165353554,8409022343151616.0,-7.940977429039134e+16
60,95235.75378702742,7316296428814336.0,-7.940973775751317e+16
61,95235.83394808101,6365565696081920.0,-7.940970597199174e+16
62,95235.90369246124,5538378799382528.0,-7.940967831692192e+16
63,95235.964373771,4818681827688448.0,-7.940965425556256e+16
64,95236.01716972116,4192507043119104.0,-7.940963332092072e+16
65,95236.06310498512,3647701630582784.0,-7.940961510668768e+16
66,95236.10307108528,3173691997028352.0,-7.940959925935286e+16
67,95236.137843695,2761278523572224.0,-7.940958547134395e+16
68,95236.16809769243,2402457030623232.0,-7.940957347505638e+16
69,95236.194420258,2090263430955008.0,-7.940956303766002e+16
70,95236.21732226947,1818638515044352.0,-7.940955395658069e+16
71,95236.23724821929,1582310629834752.0,-7.940954605556826e+16
72,95236.2545848381,1376692911079424.0,-7.940953918127523e+16
73,95236.269668603,1197794729000960.0,-7.940953320028203e+16
74,95236.28279226657,1042143930744832.0,-7.940952799650629e+16
75,95236.29421053933,906719598215168.0,-7.940952346895034e+16
76,95236.30414503266,788893341843456.0,-7.940951952974067e+16
77,95236.31278856035,686378351722496.0,-7.940951610242315e+16
